iso3,region,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CRI,AMR,512.0,743.0,1774.0,2054.0,361.0,6883.0,1000.0,170.0,167.0,39.0,11.0,1.0,4534.0,4004.0,358.0,33.0,76.0,6296.0,2361.0,273.0,0.0,35.0,24.0,26.0,27.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
CUB,AMR,13874.0,10585.0,14882.0,25358.0,18751.0,7512.0,3924.0,18387.0,23408.0,3287.0,3315.0,2874.0,3312.0,858.0,121.0,12.0,12.0,17.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,EUR,217.0,0.0,19.0,118.0,8.0,4.0,0.0,3.0,27.0,183.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,20.0,0.0,0.0,0.0,55.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0,10.0,0.0,0.0,3.0,15.0,6.0,1.0,1.0,0.0
CZE,EUR,,,,,,,,,,,,,,,,,2420.0,839.0,416.0,14.0,9.0,5.0,10.0,14.0,19.0,2.0,9.0,6.0,4.0,30.0,17.0,0.0,7.0,2.0,2.0,5.0,0.0,17.0,22.0,15.0,222.0,9.0,7.0,142.0,207.0,590.0,4.0,0.0,0.0
DEU,EUR,400.0,1493.0,3694.0,1067.0,941.0,2128.0,28745.0,5290.0,2029.0,9798.0,11759.0,568.0,199.0,189.0,17.0,45.0,,,,,,,,,,,,6024.0,4657.0,779.0,121.0,778.0,2307.0,567.0,917.0,574.0,780.0,1607.0,166.0,1771.0,443.0,2464.0,326.0,929.0,543.0,514.0,76.0,,
DJI,EMR,298.0,487.0,825.0,899.0,839.0,1120.0,,4533.0,31.0,,1295.0,108.0,,52.0,473.0,490.0,104.0,13.0,129.0,37.0,,8.0,410.0,,198.0,341.0,183.0,79.0,50.0,37.0,71.0,298.0,49.0,24.0,143.0,48.0,7.0,49.0,709.0,28.0,,47.0,8.0,3.0,28.0,,,0.0,206.0
DMA,AMR,171.0,1.0,122.0,85.0,0.0,178.0,0.0,27.0,2.0,1.0,188.0,64.0,45.0,82.0,10.0,9.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,EUR,54581.0,14167.0,57756.0,52308.0,18593.0,66493.0,28249.0,35651.0,15656.0,33242.0,21188.0,13187.0,23490.0,6268.0,618.0,405.0,180.0,162.0,129.0,115.0,36.0,20.0,119.0,61.0,,,14.0,11.0,32.0,0.0,0.0,2.0,27.0,2.0,14.0,6.0,5.0,84.0,2.0,17.0,27.0,9.0,3.0,4.0,8.0,15.0,4.0,0.0,0.0
DOM,AMR,4148.0,4224.0,7225.0,5707.0,5796.0,8944.0,9760.0,3410.0,3671.0,2960.0,4429.0,4417.0,501.0,499.0,692.0,1505.0,3477.0,7512.0,7650.0,4637.0,3.0,0.0,0.0,1.0,14.0,274.0,253.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,AFR,10517.0,8899.0,15646.0,12015.0,10696.0,14937.0,15527.0,20849.0,29584.0,22126.0,22553.0,20114.0,3975.0,2500.0,2634.0,4169.0,1796.0,5969.0,8823.0,3141.0,5913.0,8204.0,21003.0,19573.0,3301.0,2503.0,,2686.0,5862.0,15374.0,3289.0,2302.0,944.0,0.0,217.0,107.0,103.0,112.0,18.0,25.0,0.0,63.0,41.0,112.0,3356.0,2585.0,,,47.0
ECU,AMR,3906.0,241.0,7009.0,2438.0,870.0,4206.0,2722.0,4678.0,1647.0,2556.0,6979.0,1183.0,839.0,1537.0,8004.0,3649.0,1646.0,1585.0,4356.0,3627.0,3668.0,919.0,42.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,257.0,72.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0
EGY,EMR,,3492.0,2051.0,3780.0,1130.0,4763.0,839.0,1777.0,7365.0,813.0,4898.0,5554.0,1176.0,1805.0,3672.0,4057.0,887.0,1231.0,4403.0,2874.0,1444.0,1833.0,4403.0,4606.0,4868.0,1547.0,2633.0,2150.0,653.0,164.0,80.0,77.0,953.0,1684.0,668.0,608.0,16.0,26.0,245.0,405.0,1314.0,5432.0,225.0,24.0,48.0,0.0,3.0,0.0,14.0
ERI,AFR,,,,,,,,,,,,,,,,,,,,267.0,541.0,185.0,1783.0,777.0,316.0,320.0,789.0,204.0,460.0,376.0,24.0,19.0,128.0,55.0,0.0,82.0,51.0,48.0,194.0,45.0,127.0,198.0,142.0,1199.0,70.0,6.0,12.0,25.0,28.0
ESP,EUR,147793.0,179638.0,133060.0,129375.0,129712.0,93608.0,145322.0,146689.0,159562.0,304350.0,38914.0,80663.0,220109.0,35146.0,22701.0,32908.0,21650.0,24445.0,24460.0,11985.0,6796.0,8849.0,4964.0,1842.0,446.0,246.0,152.0,,67.0,256.0,26.0,22.0,362.0,267.0,297.0,41.0,302.0,3802.0,1204.0,131.0,154.0,115.0,37.0,161.0,225.0,288.0,89.0,2.0,1.0
EST,EUR,,,,,,,,,,,,,,,,,33.0,129.0,71.0,312.0,230.0,17.0,19.0,18.0,17.0,12.0,9.0,0.0,0.0,0.0,0.0,2.0,27.0,1.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,4.0,2.0,1.0,10.0,27.0,0.0,0.0,0.0
ETH,AFR,3821.0,5157.0,2586.0,3132.0,11208.0,21030.0,10690.0,9784.0,10527.0,5866.0,9843.0,66544.0,3760.0,4832.0,7575.0,4169.0,1836.0,497.0,4815.0,1152.0,1133.0,562.0,1586.0,1113.0,1603.0,5329.0,1660.0,2366.0,3332.0,228.0,73.0,357.0,1451.0,1446.0,3511.0,1176.0,4235.0,3255.0,4347.0,5253.0,12739.0,17745.0,4579.0,1921.0,1752.0,3998.0,1952.0,1953.0,9291.0
FIN,EUR,11353.0,3384.0,8706.0,2837.0,2325.0,2396.0,2147.0,3813.0,5402.0,4751.0,729.0,614.0,741.0,635.0,129.0,1032.0,3.0,8.0,5.0,0.0,1.0,6.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,5.0,27.0,,2.0,,2.0,4.0,11.0,15.0,12.0,4.0,3.0,0.0
FJI,WPR,1911.0,1026.0,212.0,2384.0,441.0,1621.0,913.0,1003.0,902.0,313.0,827.0,152.0,385.0,1075.0,610.0,53.0,32.0,,969.0,425.0,39.0,414.0,39.0,828.0,,,,17.0,304.0,305.0,37.0,,136.0,0.0,0.0,1.0,0.0,,0.0,,,,5.0,,0.0,28.0,,,
FRA,EUR,5235.0,1813.0,2607.0,2106.0,2026.0,1603.0,1244.0,1132.0,812.0,870.0,978.0,399.0,931.0,,,,,156849.0,109548.0,77232.0,44005.0,54239.0,66000.0,80000.0,,,10000.0,,5185.0,,4448.0,36.0,40.0,39.0,604.0,1541.0,5048.0,14949.0,,272.0,267.0,157.0,79.0,519.0,2921.0,2637.0,240.0,16.0,15.0
